Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Cluster,Distance
2023-03-14 07:27:32,118.23.216.0,109.17.204.56,5032,1068,TCP,308,Control,DNS,"Debitis ut occaecati nostrum tempore sunt illum. Repudiandae dolorum reiciendis aperiam. Minima sequi alias doloremque ducimus.
Illo officia molestiae voluptas. Rem ullam placeat ea.",,85.28,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,"Ichalkaranji, Sikkim",153.251.24.124,,,Server,1,2.2537332703491404
2022-08-17 02:04:53,64.58.36.254,179.161.134.184,57482,1091,UDP,548,Data,FTP,Libero veritatis suscipit eius iste debitis ullam. Porro cupiditate accusantium deserunt sed eos. Quas quidem voluptates iure cumque voluptas officia.,,33.08,,DDoS,Known Pattern B,Blocked,Low,Lavanya Sachdeva,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; et-EE) AppleWebKit/532.16.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.16.5",Segment C,"Kalyan-Dombivli, Gujarat",30.88.14.231,,Alert Data,Server,2,2.132203738137917
2022-03-22 11:32:28,187.142.95.56,100.253.162.223,63776,58671,UDP,399,Control,HTTP,Possimus ipsum quod praesentium eveniet doloremque. Quasi consectetur suscipit mollitia ducimus.,,53.91,Alert Triggered,DDoS,Known Pattern B,Logged,High,Shalv Raj,Opera/8.37.(X11; Linux i686; st-ZA) Presto/2.9.178 Version/10.00,Segment A,"Vadodara, Odisha",,Log Data,,Server,2,2.1588334971227905
2023-03-01 19:55:09,78.66.75.116,14.111.213.104,3307,61720,ICMP,382,Data,HTTP,Officia minima voluptates perspiciatis enim saepe. Quibusdam ipsum possimus quisquam dolores numquam itaque.,IoC Detected,54.7,,Malware,Known Pattern B,Logged,Medium,Nitara Bal,Opera/9.18.(X11; Linux x86_64; bo-CN) Presto/2.9.180 Version/12.00,Segment B,"Pondicherry, Manipur",170.132.125.196,,,Firewall,1,2.1891950631757418
2022-04-14 22:37:19,117.110.231.44,90.8.146.81,1705,59230,UDP,248,Control,FTP,"Ad sed nostrum ex enim. Molestiae perspiciatis soluta maxime vel.
Aperiam sapiente quas iure dignissimos.
Et et vel. A recusandae voluptatum fugit aliquid distinctio eaque.",,12.24,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Rohan Sawhney,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),Segment C,"Berhampur, Maharashtra",,Log Data,,Server,1,2.1719476004554727
2023-06-28 11:21:33,146.97.145.186,211.231.234.110,8091,1592,UDP,169,Data,DNS,Occaecati illo sunt iure distinctio magni molestiae. Molestiae laudantium nobis veniam quibusdam quis. Quisquam aliquid sit repellat consequatur aspernatur.,,12.6,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Kavya Saran,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; lt-LT) AppleWebKit/534.43.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.43.5",Segment B,"Ramagundam, Nagaland",82.67.152.100,Log Data,Alert Data,Firewall,1,2.1684578843321076
2021-05-05 16:35:36,178.211.185.229,96.12.194.206,65221,65218,UDP,454,Data,FTP,Earum architecto dicta sequi veniam eius alias placeat. Perferendis commodi voluptas iure occaecati cupiditate temporibus. Aliquam sint nihil sed repudiandae numquam quae rem.,,80.6,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Ishaan Kashyap,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/7496-02-17 18:40:19 Firefox/13.0,Segment C,"Sikar, Tamil Nadu",143.58.60.51,,,Firewall,2,2.339129440075181
2022-11-27 13:10:58,146.70.222.46,42.162.20.31,61706,60171,ICMP,156,Control,DNS,"Accusamus sunt voluptatibus vitae debitis fuga. Repellat eligendi quidem ducimus officiis dicta officiis dolores. Eveniet dolorem quia.
Voluptatem labore vitae doloribus quae ab.",,49.57,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Kismat Karnik,Opera/8.43.(X11; Linux i686; es-US) Presto/2.9.185 Version/12.00,Segment A,"Pallavaram, Madhya Pradesh",,,,Server,1,2.21433690950417
2020-07-01 09:25:32,145.85.221.66,78.171.136.228,59459,3295,TCP,84,Control,HTTP,Tenetur nisi dolore. Rem earum commodi minus quod. Dolorum rem consequatur iusto laborum deserunt quod.,IoC Detected,77.45,,DDoS,Known Pattern B,Ignored,Low,Azad Kala,Opera/8.30.(Windows NT 4.0; tr-CY) Presto/2.9.184 Version/12.00,Segment C,"Vijayawada, Manipur",,Log Data,Alert Data,Firewall,1,2.2664271969502487
2023-03-05 00:31:27,215.65.234.173,177.175.172.201,1971,4025,UDP,175,Data,HTTP,"Placeat sequi quod eius. Nam quod libero qui eaque.
Commodi deleniti commodi cumque praesentium. A molestias fugit aut.",IoC Detected,40.05,,DDoS,Known Pattern A,Ignored,High,Rasha Chawla,Mozilla/5.0 (Android 3.2; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0,Segment B,"South Dumdum, Jharkhand",202.35.217.1,,Alert Data,Server,1,2.285509639988124
